Clock,2016/10/2,2016/10/3,2016/10/4,2016/10/5,2016/10/6,2016/10/7,2016/10/8,All,Average
0,8.740278,9.663361,,,,,,18.40364,9.20182
1,8.650548,9.40179,,,,,,18.05234,9.026169
2,8.554778,9.311192,,,,,,17.86597,8.932985
3,8.521708,9.199645,,,,,,17.72135,8.860676
4,8.37856,9.151029,,,,,,17.52959,8.764795
5,8.362041,9.094927,,,,,,17.45697,8.728484
6,8.527828,9.032049,,,,,,17.55988,8.779939
7,9.033131,9.409242,,,,,,18.44237,9.221187
8,10.17161,9.252139,,,,,,19.42375,9.711875
9,13.07896,8.932545,,,,,,22.0115,11.00575
10,19.06614,8.645801,,,,,,27.71195,13.85597
11,24.24,8.613609,,,,,,32.85361,16.42681
12,24.93116,9.064132,,,,,,33.9953,16.99765
13,20.82154,9.238238,,,,,,30.05977,15.02989
14,18.67371,9.091874,,,,,,27.76558,13.88279
15,15.44033,8.996222,,,,,,24.43656,12.21828
16,13.91106,8.41515,,,,,,22.32621,11.1631
17,12.78584,7.733355,,,,,,20.5192,10.2596
18,11.93781,7.316433,,,,,,19.25424,9.627121
19,11.52592,7.162699,,,,,,18.68862,9.344309
20,11.07144,,,,,,,11.07144,11.07144
21,10.46572,,,,,,,10.46572,10.46572
22,10.08012,,,,,,,10.08012,10.08012
23,9.963062,,,,,,,9.963062,9.963062
All,306.9333,176.7254,0,0,0,0,0
Average,12.78889,8.836272,0,0,0,0,0
