Time [hr], Date, 湿度 [%]
0,2016/10/1 0:00:00,62.48364
1,2016/10/1 1:00:00,62.67
2,2016/10/1 2:00:00,62.84083
3,2016/10/1 3:00:00,62.9275
4,2016/10/1 4:00:00,63.025
5,2016/10/1 5:00:00,63.22909
6,2016/10/1 6:00:00,63.48
7,2016/10/1 7:00:00,63.65333
8,2016/10/1 8:00:00,63.10833
9,2016/10/1 9:00:00,62.2575
10,2016/10/1 10:00:00,61.4775
11,2016/10/1 11:00:00,61.61909
12,2016/10/1 12:00:00,62.12
13,2016/10/1 13:00:00,62.57917
14,2016/10/1 14:00:00,62.3225
15,2016/10/1 15:00:00,62.18667
16,2016/10/1 16:00:00,63.3575
17,2016/10/1 17:00:00,64.11
18,2016/10/1 18:00:00,64.53333
19,2016/10/1 19:00:00,64.83167
20,2016/10/1 20:00:00,64.7775
21,2016/10/1 21:00:00,64.8375
22,2016/10/1 22:00:00,64.84909
23,2016/10/1 23:00:00,64.985
24,2016/10/2 0:00:00,65.2
25,2016/10/2 1:00:00,65.41667
26,2016/10/2 2:00:00,65.65667
27,2016/10/2 3:00:00,65.77818
28,2016/10/2 4:00:00,66.09167
29,2016/10/2 5:00:00,66.18833
30,2016/10/2 6:00:00,65.99083
31,2016/10/2 7:00:00,65.16667
32,2016/10/2 8:00:00,63.495
33,2016/10/2 9:00:00,60.14
34,2016/10/2 10:00:00,53.825
35,2016/10/2 11:00:00,49.20917
36,2016/10/2 12:00:00,47.90833
37,2016/10/2 13:00:00,51.07917
38,2016/10/2 14:00:00,52.79417
39,2016/10/2 15:00:00,55.5925
40,2016/10/2 16:00:00,57.44333
41,2016/10/2 17:00:00,58.66667
42,2016/10/2 18:00:00,60.03
43,2016/10/2 19:00:00,60.74909
44,2016/10/2 20:00:00,61.595
45,2016/10/2 21:00:00,63.00833
46,2016/10/2 22:00:00,63.8975
47,2016/10/2 23:00:00,64.12583
48,2016/10/3 0:00:00,64.79583
49,2016/10/3 1:00:00,65.44727
50,2016/10/3 2:00:00,65.72167
51,2016/10/3 3:00:00,66.03917
52,2016/10/3 4:00:00,66.265
53,2016/10/3 5:00:00,66.5025
54,2016/10/3 6:00:00,66.75636
55,2016/10/3 7:00:00,64.77
56,2016/10/3 8:00:00,63.545
57,2016/10/3 9:00:00,64.51667
58,2016/10/3 10:00:00,65.52833
59,2016/10/3 11:00:00,65.96667
60,2016/10/3 12:00:00,65.93364
61,2016/10/3 13:00:00,65.75583
62,2016/10/3 14:00:00,66.235
63,2016/10/3 15:00:00,66.62083
64,2016/10/3 16:00:00,68.2175
65,2016/10/3 17:00:00,69.62
66,2016/10/3 18:00:00,70.67833
67,2016/10/3 19:00:00,71.1825
68,2016/10/3 20:00:00,70.61917
69,2016/10/3 21:00:00,70.92333
70,2016/10/3 22:00:00,71.665
71,2016/10/3 23:00:00,71.48
72,2016/10/4 0:00:00,70.8375
73,2016/10/4 1:00:00,70.88667
74,2016/10/4 2:00:00,71.08417
75,2016/10/4 3:00:00,72.155
76,2016/10/4 4:00:00,72.57273
77,2016/10/4 5:00:00,73.1375
78,2016/10/4 6:00:00,72.9125
79,2016/10/4 7:00:00,70.96583
80,2016/10/4 8:00:00,68.16917
81,2016/10/4 9:00:00,64.67909
82,2016/10/4 10:00:00,59.25667
83,2016/10/4 11:00:00,0
84,2016/10/4 12:00:00,0
85,2016/10/4 13:00:00,0
86,2016/10/4 14:00:00,0
87,2016/10/4 15:00:00,0
88,2016/10/4 16:00:00,0
89,2016/10/4 17:00:00,0
90,2016/10/4 18:00:00,0
91,2016/10/4 19:00:00,0
92,2016/10/4 20:00:00,0
93,2016/10/4 21:00:00,0
94,2016/10/4 22:00:00,0
95,2016/10/4 23:00:00,0
