Clock,2016/9/11,2016/9/12,2016/9/13,2016/9/14,2016/9/15,2016/9/16,2016/9/17,Average
0,1006.419,1008.145,1009.813,,,,,1008.126
1,1007.3,1008.228,1008.805,,,,,1008.111
2,1006.448,1007.862,1007.432,,,,,1007.247
3,1005.905,1007.742,1007.073,,,,,1006.906
4,1005.627,1007.499,1007.166,,,,,1006.764
5,1005.461,1007.51,0,,,,,1006.485
6,1005.681,1006.883,0,,,,,1006.282
7,1006.312,0,0,,,,,1006.312
8,1008.042,0,0,,,,,1008.042
9,1008.097,0,0,,,,,1008.097
10,1008.112,1008.538,0,,,,,1008.325
11,1008.221,1008.538,0,,,,,1008.379
12,1007.048,1008.789,0,,,,,1007.919
13,1006.695,1008.543,0,,,,,1007.619
14,1006.26,1008.112,0,,,,,1007.186
15,1005.598,1007.515,0,,,,,1006.556
16,1005.268,1006.457,0,,,,,1005.863
17,1004.997,1006.971,0,,,,,1005.984
18,1005.806,1006.575,0,,,,,1006.19
19,1006.014,1007.186,0,,,,,1006.6
20,1006.145,1007.9,0,,,,,1007.023
21,1007.295,1008.472,0,,,,,1007.884
22,1007.181,1008.843,0,,,,,1008.012
23,1007.812,1009.497,0,,,,,1008.655
All,24157.75,21165.8,5040.289,0,0,0,0
Average,1006.573,1007.895,1008.058,0,0,0,0
