Index,Date,HD
0,2016/9/8,6.119974
1,2016/9/9,5.082193
2,2016/9/10,10.37832
3,2016/9/11,5.613079
4,2016/9/12,6.452764
5,2016/9/13,5.223368
6,2016/9/14,4.240777
7,2016/9/15,8.398792
8,2016/9/16,5.233359
9,2016/9/17,0
10,2016/9/18,0
11,2016/9/19,5.503074
12,2016/9/20,8.477883
13,2016/9/21,7.250679
14,2016/9/22,6.437948
15,2016/9/23,10.64318
16,2016/9/24,9.801413
17,2016/9/25,8.905694
18,2016/9/26,9.028812
19,2016/9/27,2.553477
20,2016/9/28,13.64103
21,2016/9/29,0
22,2016/9/30,10.99512
23,2016/10/1,2.771815
24,2016/10/2,0
25,2016/10/3,7.354759
26,2016/10/4,4.874565
