Index,Date,PR
0,2016/9/8,1005.291
1,2016/9/9,1005.879
2,2016/9/10,1005.53
3,2016/9/11,1006.101
4,2016/9/12,1007.326
5,2016/9/13,1006.574
6,2016/9/14,1006.059
7,2016/9/15,1005.22
8,2016/9/16,1003.982
9,2016/9/17,0
10,2016/9/18,0
11,2016/9/19,1005.755
12,2016/9/20,1008.012
13,2016/9/21,1010.896
14,2016/9/22,1010.04
15,2016/9/23,1008.574
16,2016/9/24,1006.819
17,2016/9/25,1004.965
18,2016/9/26,997.5198
19,2016/9/27,988.4686
20,2016/9/28,1001.323
21,2016/9/29,0
22,2016/9/30,1007.484
23,2016/10/1,1008.71
24,2016/10/2,0
25,2016/10/3,1000.36
26,2016/10/4,1001.51
